
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
497.96,128.565,21.3183,µm,Spot,Position Reference Frame,Reference Frame 1,1,0,
200.106,575.099,18.0576,µm,Spot,Position Reference Frame,Reference Frame 1,1,1,
246.202,550.583,27.0716,µm,Spot,Position Reference Frame,Reference Frame 1,1,3,
473.44,154.587,34.0267,µm,Spot,Position Reference Frame,Reference Frame 1,1,4,
489.586,156.563,36.4562,µm,Spot,Position Reference Frame,Reference Frame 1,1,5,
523.545,158.851,36.6249,µm,Spot,Position Reference Frame,Reference Frame 1,1,6,
480.264,420.18,35.1497,µm,Spot,Position Reference Frame,Reference Frame 1,1,7,
156.715,529.429,32.4575,µm,Spot,Position Reference Frame,Reference Frame 1,1,8,
287.827,518.864,33.4302,µm,Spot,Position Reference Frame,Reference Frame 1,1,9,
250.587,529.977,36.0765,µm,Spot,Position Reference Frame,Reference Frame 1,1,10,
274.955,521.088,38.8593,µm,Spot,Position Reference Frame,Reference Frame 1,1,11,
389.28,477.896,33.5479,µm,Spot,Position Reference Frame,Reference Frame 1,1,14,
354.836,496.522,33.7391,µm,Spot,Position Reference Frame,Reference Frame 1,1,15,
429.209,229.879,47.9822,µm,Spot,Position Reference Frame,Reference Frame 1,1,16,
376.939,281.308,47.7801,µm,Spot,Position Reference Frame,Reference Frame 1,1,18,
576.401,257.208,46.958,µm,Spot,Position Reference Frame,Reference Frame 1,1,19,
598.417,251.86,44.4934,µm,Spot,Position Reference Frame,Reference Frame 1,1,20,
452.939,296.403,47.3982,µm,Spot,Position Reference Frame,Reference Frame 1,1,21,
476.132,344.655,45.6745,µm,Spot,Position Reference Frame,Reference Frame 1,1,22,
616.525,317.7,43.8121,µm,Spot,Position Reference Frame,Reference Frame 1,1,23,
235.011,400.914,45.481,µm,Spot,Position Reference Frame,Reference Frame 1,1,24,
312.789,412.974,46.2289,µm,Spot,Position Reference Frame,Reference Frame 1,1,25,
492.713,354.918,44.4974,µm,Spot,Position Reference Frame,Reference Frame 1,1,27,
283.031,462.905,44.5868,µm,Spot,Position Reference Frame,Reference Frame 1,1,28,
313.186,438.591,45.5298,µm,Spot,Position Reference Frame,Reference Frame 1,1,30,
